shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
88178,46.46472,30.68793,620,
88178,46.46496,30.68771,622,
88178,46.46509,30.6876,624,
88178,46.46517,30.68754,626,
88178,46.46539,30.68735,628,
88178,46.46569,30.68705,630,
88178,46.46574,30.68715,632,
88178,46.46574,30.68715,634,
88178,46.46570176909836,30.687062144279484,636,
88178,46.46574,30.68715,641,
88178,46.46574,30.68715,643,
88178,46.46569,30.68705,645,
88178,46.46577,30.68698,647,
88178,46.4659,30.68685,649,
88178,46.46603,30.68677,651,
88178,46.46614,30.68672,653,
88178,46.46625,30.68672,655,
88178,46.46635,30.68672,657,
88178,46.46659,30.68679,659,
88178,46.4667,30.68685,661,
88178,46.46678,30.68692,663,
88178,46.46689,30.68702,665,
88178,46.46698,30.68717,667,
88178,46.46702,30.68733,669,
88178,46.46702,30.68754,671,
88178,46.46698,30.68771,673,
88178,46.46689,30.68797,675,
88178,46.46683,30.68795,677,
88178,46.4667,30.68793,679,
88178,46.46659,30.6879,681,
88178,46.4665,30.68784,683,
88178,46.46644,30.68773,685,
88178,46.4664,30.68763,687,
88178,46.46644,30.68694,689,
88178,46.46652,30.68584,691,
88178,46.46663,30.68496,693,
88178,46.46676,30.68402,695,
88178,46.46702,30.6829,697,
88178,46.46706,30.68275,699,
88178,46.46706,30.68252,701,
88178,46.46709,30.68233,703,
88178,46.46725,30.68238,705,
88178,46.46725,30.68238,707,
88178,46.467201898282596,30.682271718978885,709,
88178,46.46725,30.68238,714,
88178,46.46725,30.68238,716,
88178,46.46709,30.68233,718,
88178,46.4671,30.6823,720,
88178,46.46719,30.682,722,
88178,46.46758,30.6805,724,
88178,46.46803,30.67861,726,
88178,46.4682,30.67791,728,
88178,46.46837,30.67724,730,
88178,46.46839,30.67718,732,
88178,46.46848,30.67722,734,
88178,46.46848,30.67722,736,
88178,46.46846552182185,30.67717015743256,738,
88178,46.46848,30.67722,743,
88178,46.46848,30.67722,745,
88178,46.46839,30.67718,747,
88178,46.46852,30.67664,749,
